"ProbeID","f","pval","qval","BH","bonferroni","delta_beta","chr","pos","UCSC_RefGene_Name","Relation_to_Island"
"cg13754720",91.9018334361406,1.04323260298017e-06,0.0289038658273293,0.03840663944091,0.502265379937407,0.259341749542608,"chr9",98274853,"PTCH1;PTCH1","S_Shore"
"cg02725398",90.5124326581949,1.12573083305288e-06,0.0289038658273293,0.03840663944091,0.541984235304142,0.617769124944054,"chr3",9988144,"PRRT3","Island"
"cg20996351",89.1041982808132,1.21732110405924e-06,0.0289038658273293,0.03840663944091,0.586080462870426,0.141099507031049,"chr1",27687232,"MAP3K6","Island"
"cg07770777",88.2611178690913,1.27636297578478e-06,0.0289038658273293,0.03840663944091,0.61450623105456,0.47242371274881,"chr13",113528375,"ATP11A;ATP11A","OpenSea"
"cg01327147",86.6820083707546,1.39630213361783e-06,0.0297599500272625,0.0395441799136729,0.672251058532439,0.321233609956547,"chr9",34371380,"KIAA1161","Island"
"cg13006424",83.2337032412297,1.7077161815093e-06,0.0343317115704669,0.0456190073519337,0.822181663303834,-0.495355055037016,"chr2",98377939,"TMEM131","OpenSea"
"cg02393727",82.1545311995019,1.8215641733217e-06,0.0343317115704669,0.0456190073519337,0.876993892809907,0.439401691641108,"chr16",89690088,"DPEP1;DPEP1","OpenSea"
"cg20424833",81.4768650029279,1.89763765805398e-06,0.0343317115704669,0.0456190073519337,0.913619548107747,0.0992924185996032,"chr5",176829639,"F12","Island"
"cg03344384",80.6974632585613,1.98981652211878e-06,0.0343317115704669,0.0456190073519337,0.957999154390607,-0.369315402729799,"chr6",157931843,"ZDHHC14;ZDHHC14","OpenSea"
"cg24361198",79.2509486392734,2.17529347902885e-06,0.0358258822754513,0.0476044191259964,1,-0.187524651286973,"chr1",242002464,"","OpenSea"
"cg01229865",76.2828304479095,2.62384762652959e-06,0.0413344813075468,0.0549240897234911,1,0.460421706612133,"chr13",113528751,"ATP11A;ATP11A","OpenSea"
"cg05347456",75.4096398719715,2.77603669049215e-06,0.0419098086025219,0.0556885683614223,1,0.412418852138005,"chr16",89690262,"DPEP1;DPEP1","OpenSea"
"cg15768901",74.4722411407513,2.95115750496373e-06,0.0427714621885342,0.0568335092768916,1,0.0785737055208525,"chr19",41120329,"LTBP4;LTBP4;LTBP4","Island"
"cg02773588",71.5702028713018,3.58218985423198e-06,0.0499202749731809,0.0663326495196092,1,0.162439204563368,"chr3",48698519,"CELSR3","Island"
"cg11635197",70.0542653683733,3.97472419049421e-06,0.053339010056862,0.070875368008801,1,0.165472057705318,"chr11",66193993,"NPAS4","OpenSea"
"cg06361984",68.8957400903183,4.30921739489507e-06,0.0538224633841599,0.0715177671168982,1,-0.290952112759484,"chr16",15787940,"NDE1;NDE1","OpenSea"
"cg23766254",68.5792423984515,4.4063057311054e-06,0.0538224633841599,0.0715177671168982,1,0.310362466087237,"chr17",42431859,"FAM171A2","Island"
"cg17069396",68.4191773537629,4.45638915176611e-06,0.0538224633841599,0.0715177671168982,1,0.2313304716121,"chr20",2731102,"EBF4","Island"
"cg16859884",67.3375008556224,4.813025501672e-06,0.0562546188235564,0.0747495464775964,1,0.202962849885719,"chr19",5829172,"","Island"
"cg01746241",66.3107281726475,5.18312211336906e-06,0.058687171664224,0.077981853893864,1,0.270515310537573,"chr9",34370835,"KIAA1161","Island"
"cg15701612",65.6281729075288,5.44777590480408e-06,0.0596817958867072,0.0793034824303481,1,-0.330260885151863,"chr11",130253770,"","OpenSea"
"cg18075755",64.6529323669195,5.85412804352007e-06,0.0596817958867072,0.0793034824303481,1,0.581770097155303,"chr4",15429967,"C1QTNF7;C1QTNF7;C1QTNF7","OpenSea"
"cg00270625",64.3877619925208,5.97073552203805e-06,0.0596817958867072,0.0793034824303481,1,0.252459613894541,"chr22",51017019,"CPT1B;CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg18184071",64.3165427191897,6.00251953644001e-06,0.0596817958867072,0.0793034824303481,1,-0.36099656049129,"chr1",149670096,"","N_Shore"
"cg06035600",63.9611255345761,6.16415364160633e-06,0.0596817958867072,0.0793034824303481,1,0.436746715879065,"chr1",27687454,"MAP3K6","Island"
"cg18383668",63.7570747318034,6.25927110412738e-06,0.0596817958867072,0.0793034824303481,1,0.213069476659338,"chr19",45594410,"GEMIN7;GEMIN7;GEMIN7","Island"
"cg00017931",62.9511840812223,6.65227067369137e-06,0.0618026393053734,0.0821215991825483,1,-0.218119142606858,"chr6",157932180,"ZDHHC14;ZDHHC14","OpenSea"
"cg15038286",62.1650429293047,7.06400385854069e-06,0.0639871333169802,0.0850242930424568,1,0.151158430139662,"chr3",128200723,"GATA2;GATA2;GATA2","OpenSea"
"cg19112186",61.0217875542944,7.71775551708502e-06,0.0655460285537792,0.0870957089438302,1,0.440357331731859,"chr22",51016638,"CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg10770023",60.4061141898341,8.09933103201456e-06,0.0655460285537792,0.0870957089438302,1,0.455601356121801,"chr22",51016644,"CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg06847624",59.9856598452747,8.37273629414583e-06,0.0655460285537792,0.0870957089438302,1,0.502094918363136,"chr5",176827671,"PFN3","Island"
"cg08118908",59.6806188032814,8.57792478065942e-06,0.0655460285537792,0.0870957089438302,1,-0.137994973441971,"chr16",15787920,"NDE1;NDE1","OpenSea"
"cg08260245",59.620346652899,8.61916651522934e-06,0.0655460285537792,0.0870957089438302,1,0.367627179006486,"chr22",51016501,"CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg12732514",59.3481197135549,8.80838118511236e-06,0.0655460285537792,0.0870957089438302,1,0.197279717909599,"chr17",77726237,"","S_Shelf"
"cg24250902",59.2667894573183,8.86585919328333e-06,0.0655460285537792,0.0870957089438302,1,0.372630606470228,"chr1",230415547,"GALNT2","Island"
"cg00642460",59.081249084635,8.99865031942764e-06,0.0655460285537792,0.0870957089438302,1,0.47368103894511,"chr5",176827697,"PFN3","Island"
"cg09785377",59.0281524406398,9.03708270200034e-06,0.0655460285537792,0.0870957089438302,1,-0.265374490591853,"chr15",60644157,"ANXA2;ANXA2;ANXA2;ANXA2","OpenSea"
"cg24699296",59.0170724696751,9.04512701643886e-06,0.0655460285537792,0.0870957089438302,1,0.196784231070312,"chr19",7747220,"TRAPPC5;TRAPPC5;TRAPPC5","Island"
"cg04554272",58.553303981664,9.38954293942666e-06,0.0656094794572142,0.0871800207097712,1,-0.506564258013261,"chr16",1013990,"LMF1","N_Shore"
"cg13526469",58.5184613048466,9.41603834431355e-06,0.0656094794572142,0.0871800207097712,1,0.410711715096435,"chr3",13245693,"","Island"
"cg27502912",57.6717372566793,1.00878889844841e-05,0.0689645873577478,0.0916381931975256,1,0.286005109507061,"chr22",51017001,"CPT1B;CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg24363820",57.2676845858572,1.04283598834141e-05,0.069971948497493,0.092976746189437,1,0.486769057872518,"chr22",51016703,"CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg02451831",56.6792116176423,1.09488149342746e-05,0.072128374156878,0.0958421436167534,1,-0.362253408166621,"chr7",26578098,"KIAA0087","OpenSea"
"cg00589617",56.077051229118,1.15134197908115e-05,0.0744934400459732,0.098984776280464,1,0.334996230780161,"chr1",230415343,"GALNT2","Island"
"cg26785346",55.2476551701175,1.23483913881681e-05,0.0784941422196227,0.104300796179385,1,-0.259446687627305,"chr4",186732936,"SORBS2;SORBS2;SORBS2;SORBS2;SORBS2;SORBS2;SORBS2","OpenSea"
"cg09783253",54.9592309104514,1.2655369665943e-05,0.0790584980344474,0.105050696224792,1,-0.309539028485593,"chr6",157932130,"ZDHHC14;ZDHHC14","OpenSea"
"cg25282454",54.5936061555343,1.30575606930322e-05,0.0790665445793144,0.105061388246036,1,-0.322401829439244,"chr1",1158325,"SDF4;SDF4","N_Shore"
"cg02380135",54.5619438982184,1.30930941980848e-05,0.0790665445793144,0.105061388246036,1,-0.245788335137248,"chr2",149866270,"KIF5C","N_Shore"
"cg20699780",54.1357811414574,1.35826492857701e-05,0.080678231430991,0.107202952152185,1,0.197180732367204,"chr17",935017,"ABR;ABR;ABR","Island"
"cg25271479",53.6330025560066,1.41882756105988e-05,0.0825218494668733,0.109652699656339,1,0.190632625421761,"chr11",1457346,"BRSK2","OpenSea"
"cg02993069",53.5041820801263,1.43485423819856e-05,0.0825218494668733,0.109652699656339,1,0.316922729064769,"chr1",36786777,"C1orf113;C1orf113","Island"
"cg10490842",53.2697061663103,1.46457755649331e-05,0.0829151933848836,0.110175363929884,1,0.42389875188767,"chr22",51016604,"CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg07973095",52.5453751920765,1.56109738399745e-05,0.0860201113894796,0.114301091159885,1,0.527055172764323,"chr16",451040,"DECR2","Island"
"cg04676568",52.5035000302301,1.56690338509058e-05,0.0860201113894796,0.114301091159885,1,-0.281326088267074,"chr5",141633556,"","OpenSea"
"cg25423752",51.938318110415,1.64781511377984e-05,0.0891118369987738,0.118409288708122,1,0.23956853248499,"chr5",178422415,"GRM6","S_Shore"
"cg02787737",51.198715543083,1.76127205945543e-05,0.0921417494204131,0.122435350640827,1,-0.183867420386071,"chr11",133928346,"","OpenSea"
"cg22993195",51.1621315108269,1.76711950146922e-05,0.0921417494204131,0.122435350640827,1,0.273871629237182,"chr3",49756301,"AMIGO3;RNF123","Island"
"cg13577505",50.9820340079501,1.79624185688102e-05,0.0921417494204131,0.122435350640827,1,0.331356419913621,"chr22",50706248,"MAPK11","Island"
"cg13377102",50.8855023872595,1.8120844567217e-05,0.0921417494204131,0.122435350640827,1,0.398070004956232,"chr17",7832764,"KCNAB3","Island"
"cg20451986",50.7464201582087,1.83520141515177e-05,0.0921417494204131,0.122435350640827,1,-0.271803031224646,"chr11",133928302,"","OpenSea"
"cg21767759",50.587066215891,1.86211706523865e-05,0.0921417494204131,0.122435350640827,1,0.370537602381471,"chr17",48154356,"ITGA3;ITGA3","OpenSea"
"cg01323777",50.4719187846305,1.88185629428981e-05,0.0921417494204131,0.122435350640827,1,0.495861638804978,"chr17",7832943,"KCNAB3","Island"
"cg04027736",50.0918079738742,1.9487936988173e-05,0.0941469642132194,0.125099823345239,1,-0.314365165107178,"chr7",27143403,"HOXA2","Island"
"cg13921444",49.1731957816033,2.12251283336047e-05,0.10084225946317,0.133996342314412,1,-0.321567004357857,"chr4",186733024,"SORBS2;SORBS2;SORBS2;SORBS2;SORBS2;SORBS2;SORBS2","OpenSea"
"cg20419110",49.0705085604409,2.14304640725842e-05,0.10084225946317,0.133996342314412,1,0.138401670982925,"chr6",43478491,"C6orf154","Island"
"cg18892212",48.6055014479044,2.2390171209331e-05,0.103561583763168,0.137609703535255,1,0.360142890932533,"chr16",31499991,"SLC5A2","Island"
"cg12176783",48.5163077315932,2.2580006229679e-05,0.103561583763168,0.137609703535255,1,0.194357693420263,"chr20",62694000,"TCEA2;TCEA2","Island"
"cg03630821",47.845922573668,2.40692831704957e-05,0.109012145372244,0.144852255646479,1,0.336042542566049,"chr19",58861702,"A1BG","Island"
"cg21017569",47.5278893470734,2.48162094242448e-05,0.111007454489431,0.147503565969285,1,0.367503152208215,"chr17",7832769,"KCNAB3","Island"
"cg13407335",47.2154143710815,2.5576877205895e-05,0.111816438817036,0.148578521463794,1,0.450114124170456,"chr17",7832852,"KCNAB3","Island"
"cg00142670",47.2003364151278,2.56142728574557e-05,0.111816438817036,0.148578521463794,1,0.170122608935867,"chr6",43478496,"C6orf154","Island"
"cg01081346",46.6532289459853,2.70159045171288e-05,0.11653112628567,0.154843264829478,1,0.156438165098362,"chr22",51017151,"CPT1B;CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B","S_Shore"
"cg00481259",46.3286800807302,2.78901487976756e-05,0.118886795986078,0.157973412103408,1,0.377255521997905,"chr16",450837,"DECR2","Island"
"cg05697274",45.6424898236302,2.9850999934809e-05,0.125765681815362,0.16711388104202,1,0.284740935843192,"chr1",230415377,"GALNT2","Island"
"cg26995224",45.3839050748131,3.06318607004709e-05,0.126697115305066,0.168351543519973,1,0.267812801379686,"chr12",121974146,"KDM2B;KDM2B","N_Shore"
"cg14133557",45.3385061821953,3.07714301761915e-05,0.126697115305066,0.168351543519973,1,-0.319545454560687,"chr9",113802005,"","S_Shore"
"cg01287088",45.2101527947307,3.11701069222858e-05,0.126896604890209,0.168616619638668,1,0.235627731746408,"chr5",176827392,"PFN3","Island"
"cg20111321",44.8975962158953,3.2166718730752e-05,0.128576896375046,0.170849343441058,1,0.276599563679248,"chr8",900076,"","OpenSea"
"cg13456470",44.8589410032382,3.2292570278463e-05,0.128576896375046,0.170849343441058,1,0.32940984560105,"chr9",98266766,"PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1","N_Shore"
"cg17801369",44.6127371440595,3.31079317524884e-05,0.130390497176545,0.173259204893123,1,-0.390134471220224,"chr4",87469440,"","OpenSea"
"cg03022891",44.3491624351277,3.40079061161946e-05,0.132494747492281,0.176055273199441,1,0.204892786147391,"chr11",1947791,"TNNT3;TNNT3;TNNT3;TNNT3","Island"
"cg00983520",44.129242522971,3.47809898108666e-05,0.134065119893467,0.178141939632251,1,0.351153121200733,"chr22",51017067,"CPT1B;CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","S_Shore"
"cg25468618",43.787659051994,3.60233070723677e-05,0.137392078028993,0.182562707508405,1,0.317132451139584,"chr8",144810034,"FAM83H","Island"
"cg13169132",43.6825704524393,3.64159967920751e-05,0.137443019111839,0.182630396578556,1,0.186553493319136,"chr1",1362340,"TMEM88B","N_Shore"
"cg18174099",43.5029837571731,3.70988303735003e-05,0.138576695447598,0.184136793630434,1,-0.230347602715303,"chr14",88200397,"","OpenSea"
"cg24652615",43.2319567779982,3.81581884526547e-05,0.139548118935955,0.185427593687583,1,0.2661341021623,"chr6",44243304,"TMEM151B","Island"
"cg24045357",43.1510877842428,3.84811712636614e-05,0.139548118935955,0.185427593687583,1,-0.298571842801673,"chr2",177448447,"","OpenSea"
"cg06888460",43.0760637814499,3.87836997653386e-05,0.139548118935955,0.185427593687583,1,0.229764328167047,"chr11",18477303,"LDHAL6A;LDHAL6A","Island"
